"Cenario";"Delft3D";"Model A";"Model B"
"B12";0,0641381792349727;0,0304055569515281;0,0774648382445892
"T25";0,101841347185792;0,0463684743510803;0,118243099499746
"A25";0,129210070765027;0,053604996905544;0,136715877130051
"T35";0,104184068278689;0,060111786093171;0,153342786020593
"A35";0,164170663934426;0,0831591982624292;0,212097844117005
