"Data";"A25 - Delft3D";"A25 - Model A";"A25 - Model B";"A35 - Delft3D";"A35 - Model A";"A35 - Model B";"B12 - Delft3D";"B12 - Model A";"B12 - Model B";"T25 - Delft3D";"T25 - Model A";"T25 - Model B";"T35 - Delft3D";"T35 - Model A";"T35 - Model B"
2012-01-22;0,1337786;0,0437171597876011;0,0923180440786187;0,147241;0,0678198706858134;0,143219935594933;0,0636736;0,0247970276730579;0,0523020343871849;0,1082549;0,0378154672014133;0,0798443507406912;0,1008142;0,0490237237096355;0,103544955985392
2012-01-23;0,134506;0,0433016802683898;0,0921912484249031;0,147307;0,0671753236154545;0,143023232005257;0,0635805;0,0245613614681735;0,0522303995329424;0,1087552;0,0374560762389645;0,0797346841596806;0,1007481;0,048557811622579;0,103402747300573
2012-01-24;0,1319037;0,0444949834444369;0,0927883515432133;0,14791;0,0690265341579892;0,143949569228026;0,0636583;0,0252382208987164;0,0525678064362181;0,1066744;0,0384882868705424;0,0802511050850497;0,1009626;0,0498959627167622;0,104072478272792
2012-01-25;0,1303247;0,0444991158861247;0,0928711757311772;0,147681;0,069032944950965;0,144078067124434;0,063525;0,0252405648815228;0,0526146301353717;0,1054313;0,0384918614443223;0,0803227348542227;0,10075901;0,0499005967707707;0,10416538550318
2012-01-26;0,1291387;0,0445825807042241;0,0930017244742435;0,146646;0,0691624266738814;0,144280603838603;0,0630795;0,0252879073761906;0,0526884538508622;0,1044835;0,0385640587486907;0,0804356407125739;0,10002386;0,0499941928827289;0,104311821504415
2012-01-27;0,1286472;0,0447781080679373;0,0932046169885459;0,147004;0,0694657547168511;0,144595369665323;0,0631451;0,0253988134248085;0,0528032077864916;0,1040728;0,0387331904728329;0,080611114954628;0,10014784;0,0502134541408463;0,104539397054391
2012-01-28;0,1278475;0,0448018428298667;0,0933757535672332;0,147931;0,0695025752352158;0,144860872139013;0,0633019;0,0254122761371904;0,0529001516879989;0,1033715;0,0387537211092154;0,0807591253484844;0,1003912;0,0502400699232255;0,104731355720498
2012-01-29;0,1257431;0,0449000785783859;0,0936207394937825;0,145928;0,0696549715892714;0,145240943686442;0,0625804;0,0254679969247793;0,0530389474684724;0,1017526;0,0388386953102884;0,080971007732593;0,09916936;0,0503502299202887;0,105006145331762
2012-01-30;0,1259759;0,0455743443218962;0,0941912097508401;0,146243;0,0707009822577346;0,146125962500593;0,0626868;0,0258504505512741;0,0533618154746953;0,101928;0,039421937090693;0,0814643944634254;0,0993444;0,0511063407398689;0,105646002738208
2012-01-31;0,1264083;0,0466037447949576;0,0950074567055017;0,146923;0,0722979251356829;0,147392271337386;0,0629039;0,0264343419143265;0,0538237622962056;0,1022439;0,0403123714193479;0,0821703491938565;0,09975812;0,0522606939646235;0,106561525828116
