;Data;Cenario;Delft3D;Model A;Model B
513;12/04/2012;A25;NA;0,045569233;0,115009902
518;13/04/2012;A25;NA;0,045642007;0,114999185
523;14/04/2012;A25;NA;0,045478248;0,114771171
528;15/04/2012;A25;NA;0,045355753;0,11464548
533;16/04/2012;A25;NA;0,045468033;0,114550514
538;17/04/2012;A25;NA;0,04539904;0,114364223
543;18/04/2012;A25;NA;0,045391695;0,114920513
548;19/04/2012;A25;NA;0,045352116;0,115511715
553;20/04/2012;A25;NA;0,045366509;0,11600758
558;21/04/2012;A25;NA;0,045441788;0,116584276
563;22/04/2012;A25;NA;0,045640495;0,117125557
568;23/04/2012;A25;NA;0,045892625;0,117704224
573;24/04/2012;A25;NA;0,045908354;0,118154962
578;25/04/2012;A25;NA;0,046004592;0,118644785
583;26/04/2012;A25;NA;0,046227944;0,119096081
588;27/04/2012;A25;NA;0,046234246;0,119530631
593;28/04/2012;A25;NA;0,046158897;0,119828995
598;29/04/2012;A25;NA;0,04599134;0,120012705
603;30/04/2012;A25;NA;0,045803618;0,120242638
608;01/05/2012;A25;NA;0,045653329;0,120305902
613;02/05/2012;A25;NA;0,045954893;0,120696286
618;03/05/2012;A25;NA;0,046280104;0,120973181
623;04/05/2012;A25;NA;0,046931349;0,121544348
628;05/05/2012;A25;NA;0,047588264;0,121566446
633;06/05/2012;A25;NA;0,047410247;0,121188073
638;07/05/2012;A25;NA;0,047301651;0,121374128
643;08/05/2012;A25;NA;0,047288333;0,121857821
648;09/05/2012;A25;NA;0,04742942;0,122326915
653;10/05/2012;A25;NA;0,047785317;0,122807234
658;11/05/2012;A25;NA;0,048055572;0,123308183
663;12/05/2012;A25;NA;0,047936412;0,123757919
668;13/05/2012;A25;NA;0,048056876;0,124274747
673;14/05/2012;A25;NA;0,04810909;0,124825751
678;15/05/2012;A25;NA;0,048147224;0,125330863
683;16/05/2012;A25;NA;0,048777006;0,126172132
688;17/05/2012;A25;NA;0,048903133;0,126704337
693;18/05/2012;A25;NA;0,048826822;0,127116337
698;19/05/2012;A25;NA;0,048890557;0,127640874
703;20/05/2012;A25;NA;0,049113349;0,128134602
708;21/05/2012;A25;NA;0,049328412;0,128702391
713;22/05/2012;A25;NA;0,049465793;0,129206088
718;23/05/2012;A25;NA;0,049814072;0,129791398
723;24/05/2012;A25;NA;0,049926016;0,130264606
728;25/05/2012;A25;NA;0,050144026;0,130765843
733;26/05/2012;A25;NA;0,050361641;0,131230737
738;27/05/2012;A25;NA;0,050588684;0,131794965
743;28/05/2012;A25;NA;0,050853743;0,132267355
748;29/05/2012;A25;NA;0,050992459;0,132667883
753;30/05/2012;A25;NA;0,051156532;0,132962267
758;31/05/2012;A25;NA;0,051323933;0,133165773
763;01/06/2012;A25;NA;0,05142107;0,133417647
768;02/06/2012;A25;NA;0,051675865;0,133643243
773;03/06/2012;A25;NA;0,051588253;0,133430996
778;04/06/2012;A25;NA;0,051730599;0,133608686
783;05/06/2012;A25;NA;0,052217004;0,133788888
788;06/06/2012;A25;NA;0,05221735;0,133691907
793;07/06/2012;A25;NA;0,05244489;0,133240933
798;08/06/2012;A25;NA;0,052109239;0,132539184
803;09/06/2012;A25;NA;0,052054392;0,131856172
808;10/06/2012;A25;NA;0,051772851;0,13111921
813;11/06/2012;A25;NA;0,051325198;0,130849036
818;12/06/2012;A25;NA;0,050940408;0,13056992
823;13/06/2012;A25;NA;0,050668495;0,130460231
828;14/06/2012;A25;NA;0,050369719;0,130278465
833;15/06/2012;A25;NA;0,05034481;0,130234424
838;16/06/2012;A25;NA;0,050153584;0,129759761
843;17/06/2012;A25;NA;0,050448318;0,12949796
848;18/06/2012;A25;NA;0,050255987;0,129479818
853;19/06/2012;A25;NA;0,049855843;0,129355599
858;20/06/2012;A25;NA;0,049856369;0,128958244
863;21/06/2012;A25;NA;0,049797578;0,128369043
868;22/06/2012;A25;NA;0,049325661;0,127646314
873;23/06/2012;A25;NA;0,047894529;0,126028181
878;24/06/2012;A25;NA;0,050091046;0,126123746
883;25/06/2012;A25;NA;0,055620913;0,128349943
888;26/06/2012;A25;NA;0,054562436;0,128089137
893;27/06/2012;A25;NA;0,053677341;0,127888853
898;28/06/2012;A25;NA;0,052915666;0,128065406
903;29/06/2012;A25;NA;0,054596611;0,129983284
908;30/06/2012;A25;NA;0,054979713;0,131406414
913;01/07/2012;A25;NA;0,054544488;0,131773803
918;02/07/2012;A25;NA;0,054265543;0,132586221
923;03/07/2012;A25;NA;0,054771744;0,133811609
928;04/07/2012;A25;NA;0,054996785;0,134949854
933;05/07/2012;A25;NA;0,055284262;0,136139271
938;06/07/2012;A25;NA;0,055308202;0,137284408
943;07/07/2012;A25;NA;0,055151626;0,138360802
948;08/07/2012;A25;NA;0,055283889;0,13942235
953;09/07/2012;A25;NA;0,055258539;0,14037555
958;10/07/2012;A25;NA;0,055241886;0,141226065
963;11/07/2012;A25;NA;0,055942331;0,142425976
968;12/07/2012;A25;NA;0,055949758;0,143298271
973;13/07/2012;A25;NA;0,055868715;0,14408759
978;14/07/2012;A25;NA;0,055759078;0,144860063
983;15/07/2012;A25;NA;0,055638379;0,145673245
988;16/07/2012;A25;NA;0,055329801;0,146265565
993;17/07/2012;A25;NA;0,054865702;0,146710849
998;18/07/2012;A25;NA;0,054503531;0,147198129
1003;19/07/2012;A25;NA;0,05463319;0,147886744
1008;20/07/2012;A25;NA;0,054917419;0,14864827
1013;21/07/2012;A25;NA;0,054942522;0,148956961
1018;22/07/2012;A25;NA;0,054787157;0,149542232
1023;23/07/2012;A25;NA;0,054719351;0,150107126
1028;24/07/2012;A25;NA;0,054634402;0,150727854
1033;25/07/2012;A25;NA;0,054616189;0,151329256
1038;26/07/2012;A25;NA;0,054981319;0,152100972
1043;27/07/2012;A25;NA;0,0549277;0,152660668
1048;28/07/2012;A25;NA;0,054883179;0,153180047
1053;29/07/2012;A25;NA;0,054814513;0,153761664
1058;30/07/2012;A25;NA;0,055707399;0,154693012
1063;31/07/2012;A25;NA;0,055851185;0,155396771
1068;01/08/2012;A25;NA;0,056279645;0,156001453
1073;02/08/2012;A25;NA;0,056315239;0,156432638
1078;03/08/2012;A25;NA;0,056143595;0,156588724
1083;04/08/2012;A25;NA;0,056102258;0,156761454
1088;05/08/2012;A25;NA;0,056373683;0,156480698
1093;06/08/2012;A25;NA;0,056410436;0,156732611
1098;07/08/2012;A25;NA;0,056409261;0,156961629
1103;08/08/2012;A25;NA;0,056485243;0,157196875
1108;09/08/2012;A25;NA;0,057263196;0,157893863
1113;10/08/2012;A25;NA;0,057050839;0,158245311
1118;11/08/2012;A25;NA;0,056987287;0,158511107
1123;12/08/2012;A25;NA;0,056856954;0,158227876
1128;13/08/2012;A25;NA;0,057602315;0,158848765
1133;14/08/2012;A25;NA;0,058024907;0,159361921
1138;15/08/2012;A25;NA;0,057790946;0,159577437
1143;16/08/2012;A25;NA;0,057616301;0,159784579
1148;17/08/2012;A25;NA;0,057515067;0,159997125
1153;18/08/2012;A25;NA;0,057617872;0,160497679
1158;19/08/2012;A25;NA;0,057404178;0,160119359
1163;20/08/2012;A25;NA;0,057294907;0,160348368
1168;21/08/2012;A25;NA;0,057419313;0,160710411
1173;22/08/2012;A25;NA;0,057452075;0,160996166
1178;23/08/2012;A25;NA;0,05737095;0,161310612
1183;24/08/2012;A25;NA;0,057277809;0,161508227
1188;25/08/2012;A25;NA;0,057230766;0,16154836
1193;26/08/2012;A25;NA;0,05710485;0,161196477
1198;27/08/2012;A25;NA;0,057033256;0,161309092
1203;28/08/2012;A25;NA;0,056917057;0,161398162
1208;29/08/2012;A25;NA;0,056809781;0,161484476
1213;30/08/2012;A25;NA;0,056747511;0,161589693
1218;31/08/2012;A25;NA;0,056827495;0,161753089
1223;01/09/2012;A25;NA;0,056726801;0,161785702
1228;02/09/2012;A25;NA;0,056518479;0,161326723
1233;03/09/2012;A25;NA;0,056482133;0,16137454
1238;04/09/2012;A25;NA;0,056530526;0,161441781
1243;05/09/2012;A25;NA;0,056558546;0,161670573
1248;06/09/2012;A25;NA;0,05651279;0,161850516
1253;07/09/2012;A25;NA;0,056408197;0,161976641
1258;08/09/2012;A25;NA;0,056322001;0,162084759
1263;09/09/2012;A25;NA;0,056316805;0,162210613
1268;10/09/2012;A25;NA;0,056451478;0,162384378
1273;11/09/2012;A25;NA;0,056819649;0,162671468
1278;12/09/2012;A25;NA;0,056908739;0,162843689
1283;13/09/2012;A25;NA;0,057044631;0,16303402
1288;14/09/2012;A25;NA;0,057155088;0,16321139
1293;15/09/2012;A25;NA;0,057259898;0,16347163
1298;16/09/2012;A25;NA;0,057433989;0,163612662
1303;17/09/2012;A25;NA;0,05742655;0,163803789
1308;18/09/2012;A25;NA;0,057408772;0,163850323
