;Data;Cenario;Delft3D;Model A;Model B
640;07/05/2012;A35;0,150889;0,07338061;0,188296804
645;08/05/2012;A35;0,151381;0,07335995;0,189047196
650;09/05/2012;A35;0,152247;0,073578822;0,189774938
655;10/05/2012;A35;0,153174;0,074130937;0,190520096
660;11/05/2012;A35;0,15336;0,074550192;0,191297264
665;12/05/2012;A35;0,153388;0,074365336;0,191994981
670;13/05/2012;A35;0,153432;0,074552216;0,192796782
675;14/05/2012;A35;0,153264;0,074633217;0,193651602
680;15/05/2012;A35;0,153485;0,074692375;0,194435225
685;16/05/2012;A35;0,153738;0,075669376;0,195740352
690;17/05/2012;A35;0,154072;0,075865042;0,196566005
695;18/05/2012;A35;0,155094;0,075746657;0,197205175
700;19/05/2012;A35;0,155996;0,075845533;0,198018932
705;20/05/2012;A35;0,156196;0,076191156;0,198784895
710;21/05/2012;A35;0,156252;0,07652479;0,199665754
715;22/05/2012;A35;0,156416;0,076737915;0,20044718
720;23/05/2012;A35;0,156281;0,077278212;0,20135522
725;24/05/2012;A35;0,15626;0,077451874;0,202089348
730;25/05/2012;A35;0,15637;0,07779008;0,202866962
735;26/05/2012;A35;0,156722;0,078127673;0,203588194
740;27/05/2012;A35;0,156912;0,078479893;0,20446353
745;28/05/2012;A35;0,157141;0,078891088;0,20519639
750;29/05/2012;A35;0,15747;0,079106281;0,205817765
755;30/05/2012;A35;0,157678;0,079360813;0,20627447
760;31/05/2012;A35;0,157787;0,079620508;0,206590189
765;01/06/2012;A35;0,158106;0,0797712;0,206980943
770;02/06/2012;A35;0,158344;0,080166472;0,207330932
775;03/06/2012;A35;0,158549;0,080030557;0,20700166
780;04/06/2012;A35;0,158832;0,080251383;0,207277326
785;05/06/2012;A35;0,159396;0,081005959;0,207556891
790;06/06/2012;A35;0,15973;0,081006496;0,207406439
795;07/06/2012;A35;0,159813;0,081359487;0,20670681
800;08/06/2012;A35;0,159973;0,080838779;0,205618132
805;09/06/2012;A35;0,160323;0,080753694;0,204558525
810;10/06/2012;A35;0,161235;0,08031693;0,203415218
815;11/06/2012;A35;0,162138;0,07962247;0,202996071
820;12/06/2012;A35;0,161973;0,079025534;0,202563053
825;13/06/2012;A35;0,161173;0,078603706;0,202392881
830;14/06/2012;A35;0,160668;0,078140205;0,20211089
835;15/06/2012;A35;0,160764;0,078101563;0,202042562
840;16/06/2012;A35;0,161172;0,077804908;0,20130618
845;17/06/2012;A35;0,161526;0,078262139;0,200900026
850;18/06/2012;A35;0,161727;0,07796377;0,20087188
855;19/06/2012;A35;0,161903;0,077343013;0,200679167
860;20/06/2012;A35;0,162097;0,077343829;0,200062715
865;21/06/2012;A35;0,162188;0,077252624;0,199148637
870;22/06/2012;A35;0,162276;0,076520523;0,198027402
875;23/06/2012;A35;0,162999;0,074300361;0,195517063
880;24/06/2012;A35;0,163111;0,077707891;0,19566532
885;25/06/2012;A35;0,163056;0,086286556;0,199118985
890;26/06/2012;A35;0,162971;0,084644506;0,198714377
895;27/06/2012;A35;0,162807;0,083271428;0,198403661
900;28/06/2012;A35;0,163355;0,082089816;0,198677565
905;29/06/2012;A35;0,163416;0,084697522;0,201652914
910;30/06/2012;A35;0,163072;0,08529184;0,203860724
915;01/07/2012;A35;0,162914;0,084616662;0,204430682
920;02/07/2012;A35;0,16293;0,084183925;0,205691044
925;03/07/2012;A35;0,163167;0,084969211;0,207592081
930;04/07/2012;A35;0,163533;0,085318326;0,209357927
935;05/07/2012;A35;0,163747;0,085764298;0,211203162
940;06/07/2012;A35;0,1639;0,085801437;0,212979701
945;07/07/2012;A35;0,163825;0,085558535;0,214649595
950;08/07/2012;A35;0,163906;0,085763719;0,216296459
955;09/07/2012;A35;0,163997;0,085724393;0,217775232
960;10/07/2012;A35;0,165026;0,085698558;0,219094705
965;11/07/2012;A35;0,167695;0,086785181;0,220956224
970;12/07/2012;A35;0,167919;0,086796703;0,222309484
975;13/07/2012;A35;0,166635;0,086670979;0,223534019
980;14/07/2012;A35;0,165858;0,086500895;0,224732418
985;15/07/2012;A35;0,16556;0,08631365;0,225993972
990;16/07/2012;A35;0,165585;0,085834944;0,226912889
995;17/07/2012;A35;0,167653;0,085114972;0,227603699
1000;18/07/2012;A35;0,169973;0,084553125;0,228359663
1005;19/07/2012;A35;0,169525;0,084754267;0,229427975
1010;20/07/2012;A35;0,168625;0,085195202;0,230609397
1015;21/07/2012;A35;0,16787;0,085234146;0,231088299
1020;22/07/2012;A35;0,16768;0,084993122;0,231996279
1025;23/07/2012;A35;0,167878;0,084887933;0,232872649
1030;24/07/2012;A35;0,168049;0,084756148;0,23383564
1035;25/07/2012;A35;0,168087;0,084727894;0,234768647
1040;26/07/2012;A35;0,16814;0,085294332;0,235965878
1045;27/07/2012;A35;0,168273;0,085211152;0,236834183
1050;28/07/2012;A35;0,168367;0,085142084;0,237639941
1055;29/07/2012;A35;0,168479;0,08503556;0,238542256
1060;30/07/2012;A35;0,168597;0,086420723;0,239987132
1065;31/07/2012;A35;0,169502;0,086643784;0,241078935
1070;01/08/2012;A35;0,173007;0,087308468;0,24201703
1075;02/08/2012;A35;0,172573;0,087363686;0,242685966
1080;03/08/2012;A35;0,172978;0,087097409;0,242928118
1085;04/08/2012;A35;0,172843;0,087033282;0,24319609
1090;05/08/2012;A35;0,172709;0,087454352;0,242760535
1095;06/08/2012;A35;0,172539;0,087511369;0,24315135
1100;07/08/2012;A35;0,173271;0,087509545;0,243506644
1105;08/08/2012;A35;0,174433;0,087627419;0,243871602
1110;09/08/2012;A35;0,174606;0,088834284;0,244952894
1115;10/08/2012;A35;0,174571;0,088504846;0,245498124
1120;11/08/2012;A35;0,174521;0,088406256;0,245910478
1125;12/08/2012;A35;0,174254;0,088204067;0,24547108
1130;13/08/2012;A35;0,173981;0,08936037;0,246434315
1135;14/08/2012;A35;0,173777;0,090015951;0,247230416
1140;15/08/2012;A35;0,174387;0,089652998;0,247564767
1145;16/08/2012;A35;0,175179;0,089382067;0,247886123
1150;17/08/2012;A35;0,175862;0,08922502;0,248215865
1155;18/08/2012;A35;0,17604;0,089384504;0,248992414
1160;19/08/2012;A35;0,17611;0,089052993;0,2484055
1165;20/08/2012;A35;0,175906;0,088883478;0,24876078
1170;21/08/2012;A35;0,175616;0,089076473;0,249322448
1175;22/08/2012;A35;0,175625;0,089127297;0,249765764
1180;23/08/2012;A35;0,175456;0,089001446;0,250253593
1185;24/08/2012;A35;0,175676;0,088856953;0,250560173
1190;25/08/2012;A35;0,176267;0,088783974;0,250622438
1195;26/08/2012;A35;0,176166;0,088588636;0,250076538
1200;27/08/2012;A35;0,175888;0,08847757;0,250251249
1205;28/08/2012;A35;0,176073;0,088297306;0,250389435
1210;29/08/2012;A35;0,176001;0,088130885;0,250523346
1215;30/08/2012;A35;0,175842;0,088034284;0,250686583
1220;31/08/2012;A35;0,175792;0,088158366;0,250940079
1225;01/09/2012;A35;0,176272;0,088002157;0,25099068
1230;02/09/2012;A35;0,176259;0,087678978;0,250278633
1235;03/09/2012;A35;0,175724;0,087622595;0,25035282
1240;04/09/2012;A35;0,175568;0,087697668;0,250457141
1245;05/09/2012;A35;0,17771;0,087741136;0,250812091
1250;06/09/2012;A35;0,177153;0,087670153;0,251091257
1255;07/09/2012;A35;0,176777;0,087507894;0,251286929
1260;08/09/2012;A35;0,176057;0,087374176;0,251454666
1265;09/09/2012;A35;0,175597;0,087366115;0,251649918
1270;10/09/2012;A35;0,175419;0,087575039;0,251919499
1275;11/09/2012;A35;0,175306;0,088146194;0,252364891
1280;12/09/2012;A35;0,175235;0,088284402;0,252632077
1285;13/09/2012;A35;0,175193;0,088495216;0,252927355
1290;14/09/2012;A35;0,175025;0,088666571;0,253202525
1295;15/09/2012;A35;0,177071;0,088829167;0,253606257
1300;16/09/2012;A35;0,17764;0,089099239;0,253825051
1305;17/09/2012;A35;0,177196;0,0890877;0,254121563
1310;18/09/2012;A35;0,176219;0,08906012;0,254193756
1315;19/09/2012;A35;0,176162;0,08940411;0,254585072
1320;20/09/2012;A35;0,176499;0,090243818;0,255218602
1325;21/09/2012;A35;0,175324;0,090273902;0,255342679
1330;22/09/2012;A35;0,175507;0,091191028;0,255888605
1335;23/09/2012;A35;0,175647;0,092000887;0,25645986
1340;24/09/2012;A35;0,175626;0,092144003;0,256767916
1345;25/09/2012;A35;0,176766;0,092805144;0,257282229
1350;26/09/2012;A35;0,176879;0,093388789;0,257976298
1355;27/09/2012;A35;0,17636;0,09385352;0,258450399
1360;28/09/2012;A35;0,176867;0,094029654;0,258837191
1365;29/09/2012;A35;0,178244;0,094145789;0,259004216
1370;30/09/2012;A35;0,178963;0,09377352;0,258627997
1375;01/10/2012;A35;0,178856;0,093664164;0,258463375
1380;02/10/2012;A35;0,17821;0,093951915;0,258428152
1385;03/10/2012;A35;0,177652;0,094033768;0,258306985
1390;04/10/2012;A35;0,177586;0,093857737;0,258082371
1395;05/10/2012;A35;0,177251;0,093898483;0,25791101
1400;06/10/2012;A35;0,177106;0,094304089;0,258387845
1405;07/10/2012;A35;0,176963;0,094724155;0,258854094
1410;08/10/2012;A35;0,176954;0,09479394;0,258612833
1415;09/10/2012;A35;0,177444;0,09492999;0,258364015
1420;10/10/2012;A35;0,177598;0,095176162;0,258141618
1425;11/10/2012;A35;0,177442;0,095289939;0,257850773
1430;12/10/2012;A35;0,177156;0,095086192;0,257416076
1435;13/10/2012;A35;0,178564;0,094827725;0,256718646
1440;14/10/2012;A35;0,179304;0,094567229;0,255860925
1445;15/10/2012;A35;0,179544;0,094338052;0,255321788
1450;16/10/2012;A35;0,179188;0,094329692;0,254753677
1455;17/10/2012;A35;0,178842;0,095049383;0,25451316
1460;18/10/2012;A35;0,178757;0,095709735;0,255043304
1465;19/10/2012;A35;0,178539;0,095883407;0,255545858
1470;20/10/2012;A35;0,178441;0,096346772;0,256112756
1475;21/10/2012;A35;0,178558;0,096938663;0,256699059
1480;22/10/2012;A35;0,178365;0,097117751;0,25711914
1485;23/10/2012;A35;0,17819;0,097977971;0,257821891
1490;24/10/2012;A35;0,17812;0,098301079;0,258156041
1495;25/10/2012;A35;0,17832;0,098500035;0,258507963
1500;26/10/2012;A35;0,178432;0,098462115;0,258473069
1505;27/10/2012;A35;0,17841;0,098321288;0,2584363
1510;28/10/2012;A35;0,178398;0,097877488;0,258272915
1515;29/10/2012;A35;0,178452;0,097966983;0,258398931
1520;30/10/2012;A35;0,178689;0,098252011;0,25849299
1525;31/10/2012;A35;0,178721;0,099510592;0,258697041
1530;01/11/2012;A35;0,17921;0,09969398;0,258749721
1535;02/11/2012;A35;0,179446;0,099527393;0,25810847
1540;03/11/2012;A35;0,179992;0,099239183;0,257416884
1545;04/11/2012;A35;0,18092;0,100284859;0,257143603
1550;05/11/2012;A35;0,181069;0,099971691;0,256759381
1555;06/11/2012;A35;0,181017;0,099491511;0,255995047
1560;07/11/2012;A35;0,181415;0,099507997;0,255735775
1565;08/11/2012;A35;0,182006;0,099596202;0,255760298
1570;09/11/2012;A35;0,182096;0,099759211;0,255779594
1575;10/11/2012;A35;0,182174;0,099795097;0,255752242
1580;11/11/2012;A35;0,182112;0,099641827;0,255692259
1585;12/11/2012;A35;0,181695;0,099587433;0,255401311
1590;13/11/2012;A35;0,181586;0,09994013;0,255276047
1595;14/11/2012;A35;0,181793;0,099700579;0,254987301
1600;15/11/2012;A35;0,183283;0,09884409;0,253852802
1605;16/11/2012;A35;0,18359;0,098611606;0,253622914
1610;17/11/2012;A35;0,184122;0,098221649;0,252686411
1615;18/11/2012;A35;0,184004;0,097752237;0,251717992
1620;19/11/2012;A35;0,183764;0,09774721;0,251601
1625;20/11/2012;A35;0,183877;0,097930166;0,25151528
1630;21/11/2012;A35;0,183637;0,097916812;0,251368871
1635;22/11/2012;A35;0,183661;0,098139041;0,251286157
1640;23/11/2012;A35;0,184357;0,09856221;0,251217292
1645;24/11/2012;A35;0,184049;0,098774374;0,251076866
1650;25/11/2012;A35;0,183889;0,098545553;0,250250709
1655;26/11/2012;A35;0,183955;0,099053012;0,250309912
1660;27/11/2012;A35;0,184493;0,099417226;0,250105672
1665;28/11/2012;A35;0,184935;0,099708002;0,249910079
1670;29/11/2012;A35;0,184766;0,099788245;0,249667074
1675;30/11/2012;A35;0,184851;0,099671602;0,249157395
1680;01/12/2012;A35;0,185594;0,0990697;0,248059399
1685;02/12/2012;A35;0,185866;0,0986956;0,247007138
1690;03/12/2012;A35;0,185753;0,098735634;0,246555141
1695;04/12/2012;A35;0,185669;0,099728722;0,246451769
1700;05/12/2012;A35;0,185695;0,099347059;0,245790226
1705;06/12/2012;A35;0,185626;0,099218627;0,245450838
1710;07/12/2012;A35;0,185669;0,098950058;0,244883667
1715;08/12/2012;A35;0,185769;0,099236029;0,243963079
1720;09/12/2012;A35;0,185901;0,099498353;0,243092178
1725;10/12/2012;A35;0,186023;0,099901596;0,243015006
1730;11/12/2012;A35;0,186027;0,101138891;0,243208439
1735;12/12/2012;A35;0,186059;0,101408162;0,243194677
1740;13/12/2012;A35;0,186039;0,101200017;0,242865434
1745;14/12/2012;A35;0,186194;0,10291277;0,243027679
1750;15/12/2012;A35;0,186921;0,102729497;0,242052872
1755;16/12/2012;A35;0,188147;0,101371785;0,240690235
1760;17/12/2012;A35;0,187822;0,100621272;0,240167562
1765;18/12/2012;A35;0,186889;0,101758585;0,240303201
1770;19/12/2012;A35;0,186742;0,102709066;0,240385742
1775;20/12/2012;A35;0,186654;0,102718442;0,240413109
1780;21/12/2012;A35;0,186694;0,102749896;0,240650596
1785;22/12/2012;A35;0,186904;0,102374357;0,239963909
1790;23/12/2012;A35;0,187036;0,102025007;0,239434436
1795;24/12/2012;A35;0,188043;0,101862312;0,238926384
1800;25/12/2012;A35;0,188923;0,100859073;0,238033953
1805;26/12/2012;A35;0,188631;0,100894202;0,238166488
1810;27/12/2012;A35;0,188495;0,100613063;0,237972905
1815;28/12/2012;A35;0,188389;0,100194968;0,237682814
1820;29/12/2012;A35;0,188425;0,099588101;0,236997028
1825;30/12/2012;A35;0,188346;0,098913429;0,236151611
1830;31/12/2012;A35;0,188283;0,100191285;0,235712806
1;01/01/2012;B12;0,0654324;0,023539024;0,050735413
6;02/01/2012;B12;0,0654008;0,023697791;0,050831525
11;03/01/2012;B12;0,0654615;0,023699129;0,050897946
16;04/01/2012;B12;0,0654051;0,023918796;0,051071753
21;05/01/2012;B12;0,0654004;0,023953236;0,051137736
26;06/01/2012;B12;0,0654766;0,024001827;0,051269956
31;07/01/2012;B12;0,0655414;0,023999921;0,051312748
36;08/01/2012;B12;0,0653853;0,024113663;0,051435378
41;09/01/2012;B12;0,0652899;0,024242343;0,051579676
46;10/01/2012;B12;0,0652805;0,024137967;0,051594479
51;11/01/2012;B12;0,0653776;0,024164463;0,051627601
56;12/01/2012;B12;0,0654124;0,024099518;0,051657888
61;13/01/2012;B12;0,0653725;0,024503331;0,051898591
66;14/01/2012;B12;0,0652642;0,024707415;0,052077122
71;15/01/2012;B12;0,0650274;0,024639299;0,052109997
76;16/01/2012;B12;0,0649228;0,024854168;0,052275111
81;17/01/2012;B12;0,0646683;0,02488661;0,052314929
86;18/01/2012;B12;0,0640253;0,02465757;0,052227423
91;19/01/2012;B12;0,0638682;0,024633539;0,052192668
96;20/01/2012;B12;0,063866;0,024690489;0,05220629
101;21/01/2012;B12;0,0638772;0,024907038;0,0523115
106;22/01/2012;B12;0,0636736;0,024797028;0,052302034
111;23/01/2012;B12;0,0635805;0,024561361;0,0522304
116;24/01/2012;B12;0,0636583;0,025238221;0,052567806
121;25/01/2012;B12;0,063525;0,025240565;0,05261463
126;26/01/2012;B12;0,0630795;0,025287907;0,052688454
131;27/01/2012;B12;0,0631451;0,025398813;0,052803208
136;28/01/2012;B12;0,0633019;0,025412276;0,052900152
141;29/01/2012;B12;0,0625804;0,025467997;0,053038947
146;30/01/2012;B12;0,0626868;0,025850451;0,053361815
151;31/01/2012;B12;0,0629039;0,026434342;0,053823762
156;01/02/2012;B12;0,0628228;0,026917922;0,054301004
161;02/02/2012;B12;0,0628486;0,026807007;0,054505987
166;03/02/2012;B12;0,0628145;0,026643538;0,054694438
171;04/02/2012;B12;0,0626313;0,026470832;0,05492838
176;05/02/2012;B12;0,0624407;0,026396051;0,055181306
181;06/02/2012;B12;0,0623986;0,026391745;0,055489286
186;07/02/2012;B12;0,0623892;0,026345816;0,055756353
191;08/02/2012;B12;0,0621392;0,026299372;0,056011169
196;09/02/2012;B12;0,0617454;0,02622065;0,056245187
201;10/02/2012;B12;0,0612965;0,026247591;0,056481969
206;11/02/2012;B12;0,0610447;0,026288251;0,056727009
211;12/02/2012;B12;0,0607665;0,026142141;0,056854188
216;13/02/2012;B12;0,0605508;0,025909738;0,05715831
221;14/02/2012;B12;0,0603626;0,025711444;0,057535059
226;15/02/2012;B12;0,0601226;0,025566322;0,057885785
231;16/02/2012;B12;0,0595082;0,025333035;0,058181317
236;17/02/2012;B12;0,0609194;0,025235538;0,058537173
241;18/02/2012;B12;0,0613209;0,02516654;0,058927768
246;19/02/2012;B12;0,0614799;0,0252591;0,059384536
251;20/02/2012;B12;0,0611111;0,025256601;0,059811873
256;21/02/2012;B12;0,0614918;0,026111341;0,060680412
261;22/02/2012;B12;0,0616509;0,026084765;0,061136566
266;23/02/2012;B12;0,0617253;0,026023157;0,061507046
271;24/02/2012;B12;0,0620198;0,025835117;0,061788355
276;25/02/2012;B12;0,0620361;0,025870841;0,062159381
281;26/02/2012;B12;0,0619047;0,026392743;0,062778316
286;27/02/2012;B12;0,0608568;0,026304505;0,063140834
291;28/02/2012;B12;0,0607697;0,026246809;0,063460131
296;29/02/2012;B12;0,0607648;0,026216713;0,063761494
301;01/03/2012;B12;0,0608017;0,026595836;0,064259249
306;02/03/2012;B12;0,0609065;0,026730737;0,064711478
311;03/03/2012;B12;0,0618664;0,02691973;0,0651809
316;04/03/2012;B12;0,0622241;0,027036346;0,065606816
321;05/03/2012;B12;0,0616524;0,027106634;0,066062818
326;06/03/2012;B12;0,0610597;0,027064813;0,066469618
331;07/03/2012;B12;0,0609868;0,026991403;0,066652891
336;08/03/2012;B12;0,061098;0,027005498;0,067044414
341;09/03/2012;B12;0,0607021;0,027090553;0,067496288
346;10/03/2012;B12;0,0606736;0,027134589;0,067905727
351;11/03/2012;B12;0,0610973;0,027095884;0,068204596
356;12/03/2012;B12;0,0608707;0,02711423;0,068148753
361;13/03/2012;B12;0,0608931;0,027015281;0,067994724
366;14/03/2012;B12;0,061103;0,026976974;0,067912012
371;15/03/2012;B12;0,0610425;0,026972845;0,067846735
376;16/03/2012;B12;0,0614922;0,026809358;0,067659953
381;17/03/2012;B12;0,0611345;0,026675816;0,067532098
386;18/03/2012;B12;0,0611858;0,026822991;0,067489561
391;19/03/2012;B12;0,0606372;0,026701195;0,067334399
396;20/03/2012;B12;0,0594363;0,026643606;0,067207796
401;21/03/2012;B12;0,0595651;0,026658519;0,067117252
406;22/03/2012;B12;0,059789;0,026532001;0,066999613
411;23/03/2012;B12;0,0601295;0,02636466;0,066813458
416;24/03/2012;B12;0,0603169;0,026404395;0,066757096
421;25/03/2012;B12;0,0598988;0,026315765;0,066642628
426;26/03/2012;B12;0,0595475;0,026230873;0,066527331
431;27/03/2012;B12;0,0594671;0,026155516;0,066414288
436;28/03/2012;B12;0,0596642;0,026040896;0,06628043
441;29/03/2012;B12;0,060012;0,026008593;0,066182693
446;30/03/2012;B12;0,0603816;0,025950589;0,066063548
451;31/03/2012;B12;0,0597023;0,025915875;0,06599832
456;01/04/2012;B12;0,059129;0,025819779;0,065902828
461;02/04/2012;B12;0,0588168;0,025748971;0,065765264
466;03/04/2012;B12;0,0583069;0,025741978;0,06570627
471;04/04/2012;B12;0,0579664;0,025871561;0,065666638
476;05/04/2012;B12;0,0578872;0,025891175;0,06562434
481;06/04/2012;B12;0,0579027;0,025856165;0,065548736
486;07/04/2012;B12;0,058528;0,025770644;0,065461866
491;08/04/2012;B12;0,0588414;0,025761746;0,06536315
496;09/04/2012;B12;0,0588169;0,02574225;0,065302126
501;10/04/2012;B12;0,0585203;0,025859929;0,065310167
506;11/04/2012;B12;0,0586847;0,025774154;0,06517567
511;12/04/2012;B12;0,0582945;0,025847551;0,065167165
516;13/04/2012;B12;0,0579452;0,02588883;0,065161041
521;14/04/2012;B12;0,0577578;0,025795943;0,065031919
526;15/04/2012;B12;0,05818;0,025726462;0,064960732
531;16/04/2012;B12;0,0582164;0,025790149;0,064906798
536;17/04/2012;B12;0,0582639;0,025751015;0,064801254
541;18/04/2012;B12;0,0581853;0,025746849;0,06511671
546;19/04/2012;B12;0,0579961;0,025724399;0,065451957
551;20/04/2012;B12;0,0577516;0,025732563;0,065733122
556;21/04/2012;B12;0,0581076;0,025775263;0,06606003
561;22/04/2012;B12;0,0582501;0,025887972;0,066366764
566;23/04/2012;B12;0,0586658;0,026030984;0,066694615
571;24/04/2012;B12;0,0590118;0,026039906;0,066950132
576;25/04/2012;B12;0,0585772;0,026094493;0,067227701
581;26/04/2012;B12;0,0586054;0,026221182;0,067483356
586;27/04/2012;B12;0,0588922;0,026224757;0,067729653
591;28/04/2012;B12;0,0590806;0,026182018;0,067898796
596;29/04/2012;B12;0,059152;0,026086977;0,06800295
601;30/04/2012;B12;0,0592853;0,025980498;0,068133295
606;01/05/2012;B12;0,0592789;0,025895252;0,068169133
611;02/05/2012;B12;0,0590694;0,026066303;0,06839001
616;03/05/2012;B12;0,0592583;0,026250768;0,068546576
621;04/05/2012;B12;0,0593882;0,026620164;0,068869727
626;05/05/2012;B12;0,0596756;0,026992776;0,068881562
631;06/05/2012;B12;0,0597796;0,026891802;0,068667114
636;07/05/2012;B12;0,0599347;0,026830205;0,068772684
641;08/05/2012;B12;0,0601013;0,026822651;0,069046916
646;09/05/2012;B12;0,0603679;0,026902677;0,069312732
651;10/05/2012;B12;0,0606485;0,027104547;0,069584676
656;11/05/2012;B12;0,0606998;0,02725784;0,069868361
661;12/05/2012;B12;0,0606958;0,027190251;0,070123474
666;13/05/2012;B12;0,0606925;0,02725858;0,07041644
671;14/05/2012;B12;0,0606188;0,027288196;0,070728806
676;15/05/2012;B12;0,0606938;0,027309826;0,071015176
681;16/05/2012;B12;0,0607614;0,027667048;0,071491686
686;17/05/2012;B12;0,0608583;0,027738589;0,071793381
691;18/05/2012;B12;0,0611758;0,027695304;0,072027062
696;19/05/2012;B12;0,0614574;0,027731456;0,072324401
701;20/05/2012;B12;0,0615182;0,027857827;0,072604156
706;21/05/2012;B12;0,061535;0,027979814;0,072925888
711;22/05/2012;B12;0,0615838;0,028057739;0,073211358
716;23/05/2012;B12;0,0615369;0,028255288;0,073542942
721;24/05/2012;B12;0,0615191;0,028318784;0,073811136
726;25/05/2012;B12;0,0615431;0,028442442;0,074095135
731;26/05/2012;B12;0,0616364;0,028565877;0,07435856
736;27/05/2012;B12;0,0616738;0,028694659;0,074678246
741;28/05/2012;B12;0,0617193;0,028845005;0,07494586
746;29/05/2012;B12;0,0618013;0,028923686;0,075172822
751;30/05/2012;B12;0,0618511;0,029016751;0,075339566
756;31/05/2012;B12;0,0618863;0,029111703;0,075454839
761;01/06/2012;B12;0,0619802;0,029166801;0,075597539
766;02/06/2012;B12;0,0620541;0,029311324;0,075725222
771;03/06/2012;B12;0,0621142;0,02926163;0,075604922
776;04/06/2012;B12;0,0621902;0,02934237;0,075705489
781;05/06/2012;B12;0,0623274;0,029618267;0,075807244
786;06/06/2012;B12;0,0624148;0,029618463;0,075752094
791;07/06/2012;B12;0,0624579;0,029747527;0,075496072
796;08/06/2012;B12;0,0625077;0,02955714;0,07509825
801;09/06/2012;B12;0,062623;0,029526031;0,07471078
806;10/06/2012;B12;0,0629259;0,029366337;0,074292908
811;11/06/2012;B12;0,0632124;0,029112421;0,074139896
816;12/06/2012;B12;0,063166;0,028894162;0,073981827
821;13/06/2012;B12;0,0628928;0,028739929;0,073919763
826;14/06/2012;B12;0,062698;0,028570459;0,073816804
831;15/06/2012;B12;0,0626998;0,02855633;0,073791779
836;16/06/2012;B12;0,0628222;0,028447864;0,073522753
841;17/06/2012;B12;0,0629355;0,028615042;0,073374058
846;18/06/2012;B12;0,0629905;0,028505949;0,073363956
851;19/06/2012;B12;0,0630439;0,028278981;0,073293751
856;20/06/2012;B12;0,063101;0,028279279;0,073068189
861;21/06/2012;B12;0,0631329;0,028245932;0,072733773
866;22/06/2012;B12;0,0631606;0,027978253;0,072323934
871;23/06/2012;B12;0,0633838;0,027166494;0,07140709
876;24/06/2012;B12;0,0634161;0,028412392;0,071458947
881;25/06/2012;B12;0,0633932;0,031549015;0,072716099
886;26/06/2012;B12;0,0633492;0,030948631;0,072568941
891;27/06/2012;B12;0,0632744;0,030446591;0,072456144
896;28/06/2012;B12;0,0634513;0,030014558;0,072557059
901;29/06/2012;B12;0,06345;0,030968015;0,073643352
906;30/06/2012;B12;0,0633009;0,031185316;0,074450316
911;01/07/2012;B12;0,0632044;0,03093845;0,074659233
916;02/07/2012;B12;0,0631806;0,030780228;0,075120433
921;03/07/2012;B12;0,0632431;0,031067353;0,075815083
926;04/07/2012;B12;0,0633498;0,031195;0,076460592
931;05/07/2012;B12;0,0634006;0,031358062;0,077135086
936;06/07/2012;B12;0,0634315;0,031371641;0,077784733
941;07/07/2012;B12;0,0633801;0,031282828;0,078395525
946;08/07/2012;B12;0,0633896;0,03135785;0,078997624
951;09/07/2012;B12;0,0634012;0,031343471;0,07953837
956;10/07/2012;B12;0,0637545;0,031334025;0,08002076
961;11/07/2012;B12;0,0645415;0,031731328;0,080700582
966;12/07/2012;B12;0,0646214;0,03173554;0,08119525
971;13/07/2012;B12;0,064208;0,031689572;0,081642937
976;14/07/2012;B12;0,0639149;0,031627384;0,082081144
981;15/07/2012;B12;0,0637796;0,031558921;0,082542398
986;16/07/2012;B12;0,0637701;0,031383892;0,08287854
991;17/07/2012;B12;0,0644532;0,031120648;0,083131428
996;18/07/2012;B12;0,0651531;0,030915219;0,083408044
1001;19/07/2012;B12;0,0650259;0,030988763;0,083798358
1006;20/07/2012;B12;0,0647024;0,031149982;0,08422987
1011;21/07/2012;B12;0,064388;0,031164221;0,084404834
1016;22/07/2012;B12;0,0642689;0,031076096;0,084736828
1021;23/07/2012;B12;0,0642998;0,031037635;0,085057207
1026;24/07/2012;B12;0,0643458;0,030989451;0,085409213
1031;25/07/2012;B12;0,0643507;0,03097912;0,085750214
1036;26/07/2012;B12;0,0643631;0,031186227;0,086187444
1041;27/07/2012;B12;0,0644056;0,031155814;0,086504813
1046;28/07/2012;B12;0,0644273;0,031130561;0,08679932
1051;29/07/2012;B12;0,0644545;0,031091613;0,087129086
1056;30/07/2012;B12;0,0644849;0,031598071;0,08765638
1061;31/07/2012;B12;0,0647872;0,031679629;0,088055264
1066;01/08/2012;B12;0,0658903;0,031922657;0,088397735
1071;02/08/2012;B12;0,0657751;0,031942847;0,08864217
1076;03/08/2012;B12;0,0659117;0,031845488;0,088730764
1081;04/08/2012;B12;0,0658564;0,031822041;0,088828651
1086;05/08/2012;B12;0,0657955;0,031975997;0,088669178
1091;06/08/2012;B12;0,065721;0,031996844;0,088811912
1096;07/08/2012;B12;0,0659297;0,031996177;0,088941725
1101;08/08/2012;B12;0,0662871;0,032039276;0,089075038
1106;09/08/2012;B12;0,0663351;0,032480543;0,089469562
1111;10/08/2012;B12;0,0663114;0,03236009;0,089669005
1116;11/08/2012;B12;0,0662815;0,032324042;0,089819763
1121;12/08/2012;B12;0,0661673;0,032250116;0,089659288
1126;13/08/2012;B12;0,066052;0,032672896;0,090010695
1131;14/08/2012;B12;0,0659607;0,032912596;0,090301318
1136;15/08/2012;B12;0,0661432;0,03277989;0,09042373
1141;16/08/2012;B12;0,0664088;0,032680829;0,090541323
