"Setor";"min";"max"
"Setor 1";0,0507354128025662;0,094598626488699
"Setor 2";0,0240152156755439;0,0645745692606037
"Setor 3";0,198435241059629;0,370319890596971
"Setor 4";0,0215441323730105;0,160374715237103
