"";"Jurumirim";"Chavantes";"Capivara"
"1";0,001;0,001;0,001
"2";0,00132855744723521;0,00148475106073637;0,00134282183512807
"3";0,00164688619040497;0,00195906675625661;0,0016403215212874
"4";0,0019827152990192;0,00272416686712056;0,00223979753539043
"5";0,00263793827480453;0,00303765709712048;0,00263202178534877
"6";0,00290980324439779;0,00309576551608074;0,00292773050818146
"7";0,00312854536130341;0,00347390059366985;0,00332762524822949
"8";0,00336521031312796;0,00399283800838864;0,00365997620739086
"9";0,00384868439219049;0,00667670183218362;0,00394141042835832
"10";0,00432665953901552;0,00741792366761257;0,00447121701339795
"11";0,00448336066872318;0,00795912005099821;0,00497369305062995
"12";0,00477384273762734;0,00899503054316601;0,0052549334179947
"13";0,00550170370910707;0,00948923379117168;0,00559927557526418
"14";0,00656613772113314;0,00989297602065115;0,00602626207868794
"15";0,00682664680818421;0,0107568207550327;0,00728249640023553
"16";0,00742569327680918;0,0116656596679553;0,00764419855572805
"17";0,00808955873539268;0,0137068940726569;0,00798113093724248
"18";0,00847161670235396;0,01402672101983;0,00819188167840874
"19";0,00888525926383105;0,0143424725748939;0,00854184900476427
"20";0,00935804844218587;0,0154265003205225;0,008695932135938
"21";0,0102048742461869;0,0159365757041966;0,00901634778506893
"22";0,0107529717752981;0,0170315408546749;0,00940198766211129
"23";0,0110154908291783;0,0175316088689043;0,0100570830625523
"24";0,0116512813795536;0,0180433586119713;0,0108667717980728
"25";0,0117460465617174;0,0190243882915078;0,0111616148177609
"26";0,0121244986064542;0,0200565673414632;0,0113478932312367
"27";0,0127795999999379;0,0214628337614712;0,0114406114278634
"28";0,0132190615609239;0,0223487092591682;0,0119924346500801
"29";0,0134219330346505;0,023007199631178;0,0122660764090755
"30";0,0144673964512275;0,0231445007653892;0,0122893766007965
"31";0,0149469705159707;0,0232744158975391;0,0123617704306169
"32";0,0150903526651237;0,0236671587232552;0,0124809616677022
"33";0,0153275754445424;0,0240806233646037;0,0124885852926841
"34";0,0155370920407826;0,024147769647022;0,0125029250362387
"35";0,0156475183181699;0,0247626540739298;0,0129006121114216
"36";0,0160058413265193;0,0259669626067255;0,0131264541539061
"37";0,0162515055627884;0,0266090262990986;0,0132538244945986
"38";0,0167209907326012;0,0282133634940937;0,0133371856746617
"39";0,0167714384657915;0,0286901046017373;0,0134853837023581
"40";0,0172565745205523;0,0294185697368325;0,0134652817544209
